,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,algorithm,n_params,n_rank
154,31.0,9.0,29.0,8.0,33.0,10.0,25.0,7.0,SBP,8.0,7.0
155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SBP,6.0,1.0
156,28.0,3.0,24.0,3.0,34.0,8.0,25.0,4.0,SBP,3.0,3.0
157,29.0,4.0,27.0,3.0,33.0,6.0,24.0,3.0,SBP,4.0,3.0
158,29.0,6.0,25.0,4.0,23.0,6.0,20.0,5.0,SBP,6.0,4.0
159,28.0,6.0,28.0,6.0,38.0,10.0,32.0,7.0,SBP,6.0,5.0
160,29.0,5.0,23.0,4.0,25.0,7.0,19.0,5.0,SBP,5.0,4.0
161,29.0,6.0,29.0,6.0,33.0,8.0,26.0,5.0,SBP,6.0,5.0
162,29.0,5.0,27.0,4.0,27.0,7.0,22.0,5.0,SBP,5.0,5.0
163,26.0,5.0,26.0,5.0,33.0,9.0,25.0,6.0,SBP,5.0,4.0
164,29.0,6.0,27.0,5.0,31.0,7.0,25.0,5.0,SBP,6.0,5.0
165,26.0,4.0,26.0,4.0,30.0,8.0,22.0,5.0,SBP,5.0,4.0
166,29.0,4.0,29.0,4.0,27.0,7.0,22.0,5.0,SBP,4.0,4.0
167,27.0,5.0,21.0,3.0,29.0,7.0,19.0,4.0,SBP,5.0,3.0
168,28.0,5.0,28.0,5.0,47.0,7.0,40.0,6.0,SBP,5.0,5.0
169,28.0,7.0,22.0,4.0,29.0,6.0,29.0,6.0,SBP,7.0,4.0
170,28.0,4.0,28.0,4.0,24.0,6.0,20.0,5.0,SBP,4.0,4.0
171,31.0,7.0,29.0,6.0,35.0,9.0,27.0,6.0,SBP,6.0,2.0
172,29.0,4.0,29.0,4.0,40.0,9.0,30.0,5.0,SBP,4.0,4.0
173,27.0,5.0,25.0,4.0,25.0,6.0,22.0,5.0,SBP,5.0,4.0
174,29.0,5.0,29.0,5.0,32.0,6.0,31.0,6.0,SBP,5.0,4.0
175,28.0,6.0,28.0,6.0,36.0,8.0,25.0,5.0,SBP,6.0,2.0
176,27.0,6.0,25.0,5.0,26.0,6.0,26.0,6.0,SBP,6.0,4.0
177,28.0,6.0,28.0,6.0,38.0,9.0,29.0,6.0,SBP,6.0,5.0
178,28.0,6.0,28.0,6.0,38.0,9.0,34.0,7.0,SBP,6.0,6.0
179,28.0,7.0,26.0,6.0,28.0,7.0,26.0,6.0,SBP,7.0,4.0
180,46.0,13.0,34.0,7.0,38.0,10.0,25.0,5.0,SRjl,12.0,5.0
181,39.0,9.0,37.0,8.0,39.0,12.0,29.0,8.0,SRjl,9.0,8.0
182,35.0,10.0,31.0,8.0,36.0,9.0,29.0,7.0,SRjl,10.0,5.0
183,41.0,12.0,31.0,8.0,33.0,9.0,26.0,7.0,SRjl,11.0,7.0
184,42.0,10.0,36.0,9.0,36.0,9.0,26.0,6.0,SRjl,10.0,6.0
185,33.0,6.0,29.0,4.0,31.0,7.0,23.0,5.0,SRjl,5.0,4.0
186,28.0,9.0,24.0,7.0,24.0,7.0,22.0,6.0,SRjl,9.0,6.0
187,39.0,12.0,31.0,8.0,38.0,11.0,36.0,10.0,SRjl,11.0,8.0
188,37.0,12.0,27.0,7.0,31.0,9.0,22.0,6.0,SRjl,11.0,6.0
189,38.0,10.0,30.0,6.0,36.0,9.0,26.0,6.0,SRjl,9.0,6.0
190,33.0,11.0,27.0,8.0,23.0,7.0,17.0,5.0,SRjl,11.0,5.0
191,41.0,12.0,33.0,8.0,48.0,15.0,35.0,10.0,SRjl,12.0,8.0
192,44.0,14.0,34.0,9.0,34.0,10.0,25.0,7.0,SRjl,13.0,7.0
193,43.0,10.0,37.0,7.0,50.0,12.0,40.0,9.0,SRjl,10.0,7.0
194,41.0,13.0,35.0,10.0,31.0,9.0,22.0,6.0,SRjl,13.0,6.0
195,34.0,6.0,30.0,4.0,21.0,6.0,15.0,4.0,SRjl,7.0,3.0
196,42.0,5.0,42.0,5.0,36.0,9.0,28.0,7.0,SRjl,5.0,4.0
197,47.0,10.0,34.0,8.0,38.0,10.0,30.0,8.0,SRjl,8.0,7.0
198,42.0,12.0,36.0,9.0,36.0,9.0,26.0,6.0,SRjl,12.0,6.0
199,39.0,13.0,23.0,5.0,23.0,7.0,17.0,5.0,SRjl,11.0,5.0
200,33.0,11.0,23.0,6.0,23.0,7.0,17.0,5.0,SRjl,10.0,5.0
201,31.0,9.0,21.0,6.0,25.0,8.0,20.0,6.0,SRjl,12.0,6.0
202,39.0,13.0,19.0,5.0,23.0,7.0,17.0,5.0,SRjl,12.0,5.0
203,28.0,9.0,26.0,8.0,24.0,7.0,20.0,6.0,SRjl,8.0,6.0
204,41.0,12.0,27.0,7.0,23.0,7.0,17.0,5.0,SRjl,12.0,5.0
205,45.0,9.0,39.0,8.0,53.0,11.0,30.0,7.0,SRjl,8.0,6.0
206,42.0,11.0,34.0,7.0,36.0,8.0,30.0,7.0,SRjl,11.0,7.0
207,44.0,15.0,36.0,11.0,36.0,10.0,29.0,8.0,SRjl,15.0,8.0
208,35.0,12.0,29.0,9.0,23.0,7.0,17.0,5.0,SRjl,12.0,5.0
209,28.0,7.0,26.0,6.0,28.0,7.0,26.0,6.0,SRjl,7.0,6.0
