implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Live Haskell,Operon,Operon,29.0,45.0,33.0,950.4639999999999,363.8125,saturated
Live Haskell,Operon,Operon,30.0,45.0,33.0,195.32399999999998,362.71875,saturated
Live Haskell,GOMEA,GP-GOMEA,1.0,19.0,19.0,1524.8509999999999,380.875,saturated
Live Haskell,GOMEA,GP-GOMEA,2.0,17.0,17.0,282.034,364.015625,saturated
Live Haskell,GOMEA,GP-GOMEA,3.0,17.0,17.0,284.312,345.75,saturated
Live Haskell,GOMEA,GP-GOMEA,4.0,19.0,19.0,1283.15,357.828125,saturated
Live Haskell,GOMEA,GP-GOMEA,5.0,19.0,19.0,1522.17,363.84375,saturated
Live Haskell,GOMEA,GP-GOMEA,6.0,19.0,17.0,610.5899999999999,363.828125,saturated
Live Haskell,GOMEA,GP-GOMEA,7.0,17.0,17.0,282.793,363.71875,saturated
Live Haskell,GOMEA,GP-GOMEA,8.0,16.0,14.0,604.602,380.734375,saturated
Live Haskell,GOMEA,GP-GOMEA,9.0,19.0,19.0,1274.049,363.859375,saturated
Live Haskell,GOMEA,GP-GOMEA,10.0,14.0,14.0,247.174,363.859375,saturated
Live Haskell,GOMEA,GP-GOMEA,11.0,17.0,17.0,285.44000000000005,363.84375,saturated
Live Haskell,GOMEA,GP-GOMEA,12.0,20.0,18.0,446.777,363.8125,saturated
Live Haskell,GOMEA,GP-GOMEA,13.0,16.0,14.0,602.0790000000001,380.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,14.0,19.0,17.0,605.87,363.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,15.0,19.0,19.0,1528.184,374.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,16.0,19.0,19.0,1267.019,380.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,17.0,21.0,21.0,1477.518,380.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,18.0,21.0,21.0,1486.313,373.765625,saturated
Live Haskell,GOMEA,GP-GOMEA,19.0,21.0,19.0,709.529,363.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,20.0,17.0,17.0,280.18,363.78125,saturated
Live Haskell,GOMEA,GP-GOMEA,21.0,17.0,17.0,287.92699999999996,375.078125,saturated
Live Haskell,GOMEA,GP-GOMEA,22.0,17.0,17.0,273.313,374.703125,saturated
Live Haskell,GOMEA,GP-GOMEA,23.0,19.0,19.0,1563.228,364.078125,saturated
Live Haskell,GOMEA,GP-GOMEA,24.0,18.0,14.0,713.533,363.875,saturated
Live Haskell,GOMEA,GP-GOMEA,25.0,16.0,16.0,281.185,363.75,saturated
Live Haskell,GOMEA,GP-GOMEA,26.0,1.0,1.0,0.601,343.984375,saturated
Live Haskell,GOMEA,GP-GOMEA,27.0,1.0,1.0,0.615,374.015625,saturated
Live Haskell,GOMEA,GP-GOMEA,28.0,21.0,21.0,1438.358,398.796875,saturated
Live Haskell,GOMEA,GP-GOMEA,29.0,19.0,19.0,276.385,363.765625,saturated
Live Haskell,GOMEA,GP-GOMEA,30.0,17.0,17.0,294.175,364.09375,saturated
Live Haskell,EPLEX,EPLEX,1.0,29.0,22.0,509.61199999999997,363.890625,saturated
Live Haskell,EPLEX,EPLEX,2.0,89.0,73.0,7.325,346.0625,saturated
Live Haskell,EPLEX,EPLEX,3.0,64.0,48.0,291.191,375.0,saturated
Live Haskell,EPLEX,EPLEX,4.0,58.0,46.0,6.656,346.0625,saturated
Live Haskell,EPLEX,EPLEX,5.0,67.0,54.0,640.242,363.75,saturated
Live Haskell,EPLEX,EPLEX,6.0,71.0,44.0,957.489,380.78125,saturated
Live Haskell,EPLEX,EPLEX,7.0,66.0,58.0,21.069000000000003,346.015625,saturated
Live Haskell,EPLEX,EPLEX,8.0,51.0,43.0,32.772999999999996,346.0625,saturated
Live Haskell,EPLEX,EPLEX,9.0,83.0,50.0,774.703,374.828125,saturated
Live Haskell,EPLEX,EPLEX,10.0,37.0,24.0,9.407,346.0,saturated
Live Haskell,EPLEX,EPLEX,11.0,78.0,50.0,1226.542,380.828125,saturated
Live Haskell,EPLEX,EPLEX,12.0,67.0,43.0,152.30599999999998,363.796875,saturated
Live Haskell,EPLEX,EPLEX,13.0,29.0,27.0,2.347,374.046875,saturated
Live Haskell,EPLEX,EPLEX,14.0,72.0,46.0,14.931,345.984375,saturated
Live Haskell,EPLEX,EPLEX,15.0,55.0,36.0,92.642,362.9375,saturated
Live Haskell,EPLEX,EPLEX,16.0,33.0,28.0,3.5370000000000004,341.953125,saturated
Live Haskell,EPLEX,EPLEX,17.0,67.0,45.0,1502.183,351.828125,saturated
Live Haskell,EPLEX,EPLEX,18.0,59.0,57.0,115.104,363.796875,saturated
Live Haskell,EPLEX,EPLEX,19.0,25.0,20.0,37.829,346.0,saturated
Live Haskell,EPLEX,EPLEX,20.0,66.0,46.0,2656.2169999999996,360.828125,saturated
Live Haskell,EPLEX,EPLEX,21.0,43.0,29.0,1248.15,363.78125,saturated
Live Haskell,EPLEX,EPLEX,22.0,32.0,27.0,14.068999999999999,346.015625,saturated
Live Haskell,EPLEX,EPLEX,23.0,29.0,16.0,24.923000000000002,346.03125,saturated
Live Haskell,EPLEX,EPLEX,24.0,85.0,57.0,186.724,363.875,saturated
Live Haskell,EPLEX,EPLEX,25.0,69.0,40.0,1399.237,363.875,saturated
Live Haskell,EPLEX,EPLEX,26.0,56.0,32.0,6.369,346.015625,saturated
Live Haskell,EPLEX,EPLEX,27.0,32.0,22.0,42.196,374.03125,saturated
Live Haskell,EPLEX,EPLEX,28.0,79.0,45.0,627.503,380.8125,saturated
Live Haskell,EPLEX,EPLEX,29.0,55.0,49.0,28.11,345.9375,saturated
Live Haskell,EPLEX,EPLEX,30.0,89.0,67.0,906.7669999999999,363.84375,saturated
Live Haskell,FEAT,FEAT,1.0,217.0,185.0,4147.9220000000005,364.0,saturated
Live Haskell,FEAT,FEAT,2.0,116.0,114.0,3878.75,374.828125,saturated
Live Haskell,FEAT,FEAT,3.0,194.0,160.0,3833.748,363.8125,saturated
Live Haskell,FEAT,FEAT,4.0,142.0,110.0,5505.557,375.0,saturated
Live Haskell,FEAT,FEAT,5.0,269.0,231.0,6750.719,364.0,saturated
Live Haskell,FEAT,FEAT,6.0,191.0,163.0,3747.272,363.875,saturated
Live Haskell,FEAT,FEAT,7.0,191.0,157.0,7824.044,364.03125,saturated
Live Haskell,FEAT,FEAT,8.0,241.0,203.0,3936.505,353.03125,saturated
Live Haskell,FEAT,FEAT,9.0,202.0,170.0,3294.83,363.0625,saturated
Live Haskell,FEAT,FEAT,10.0,223.0,181.0,3507.441,380.8125,saturated
Live Haskell,FEAT,FEAT,11.0,357.0,275.0,3805.1400000000003,364.046875,saturated
Live Haskell,FEAT,FEAT,12.0,154.0,136.0,6421.455,364.03125,saturated
Live Haskell,FEAT,FEAT,13.0,134.0,130.0,3652.594,363.890625,saturated
Live Haskell,FEAT,FEAT,14.0,184.0,159.0,3651.9900000000002,374.828125,saturated
Live Haskell,FEAT,FEAT,15.0,416.0,279.0,4889.365,364.0,saturated
Live Haskell,FEAT,FEAT,16.0,129.0,113.0,3062.9990000000003,363.875,saturated
Live Haskell,FEAT,FEAT,17.0,174.0,114.0,2443.6079999999997,363.84375,saturated
Live Haskell,FEAT,FEAT,18.0,160.0,144.0,5085.223,364.015625,saturated
Live Haskell,FEAT,FEAT,19.0,196.0,102.0,5436.434,374.984375,saturated
Live Haskell,FEAT,FEAT,20.0,151.0,129.0,4927.469,358.0,saturated
Live Haskell,FEAT,FEAT,21.0,125.0,107.0,4846.298,364.015625,saturated
Live Haskell,FEAT,FEAT,22.0,168.0,158.0,4956.548,364.03125,saturated
Live Haskell,FEAT,FEAT,23.0,155.0,117.0,2350.395,373.8125,saturated
Live Haskell,FEAT,FEAT,24.0,170.0,152.0,3461.312,363.921875,saturated
Live Haskell,FEAT,FEAT,25.0,138.0,122.0,4166.325,363.765625,saturated
Live Haskell,FEAT,FEAT,26.0,179.0,165.0,4053.1009999999997,363.984375,saturated
Live Haskell,FEAT,FEAT,27.0,133.0,105.0,4557.282,364.03125,saturated
Live Haskell,FEAT,FEAT,28.0,186.0,142.0,2887.3160000000003,364.015625,saturated
Live Haskell,FEAT,FEAT,29.0,165.0,135.0,3012.042,364.03125,saturated
